"","word","h","h_dec"
"699","avance",0.897355502705327,10
"700","musulmán",0.865850893757265,7
"701","veloces",0.88630530775749,9
"702","toledo",0.888658978579253,9
"703","resto",0.860314276651499,7
"704","capitular",0.873839965939039,8
"705","dominio",0.902770718769142,10
"706","nominal",0.861741806908205,7
"707","efectivo",0.907121452187841,10
"708","noreste",0.876411255574626,8
"709","pirineo",0.838584803105278,5
"710","núcleo",0.90811884041901,10
"711","resistencia",0.904078989456776,10
"712","reino",0.888752703584892,9
"713","franco",0.85586327558915,7
"714","frenado",0.895657834522561,10
"715","poitiers",0.700419055137723,1
"716","noroeste",0.859392367873289,7
"717","formación",0.865944450902968,7
"718","cristiano",0.864794869372038,7
"719","centrado",0.909095474029713,10
"720","cordillera_cantábrica",0.689120880487136,1
"721","conjunto",0.907058320930682,10
"722","romanizar",0.710054538097284,1
"723","astur",0.753498324403086,2
"724","cántabra",0.898227007509989,10
"725","someter",0.903862679522892,10
"726","godo",0.690470124219228,1
"727","suscitar",0.905894960929171,10
"728","interés",0.890476576029314,9
"729","autoridad",0.891480178256594,9
"730","islámico",0.866193118042054,7
"731","señor",0.892978082344358,10
"732","islam",0.860154605993257,7
"733","denominado",0.9139769684697,10
"734","familia",0.848622456327998,6
"735","dominar",0.902870868663897,10
"736","valle",0.843346604744859,6
"737","ebro",0.849381200563156,6
"738","permanecer",0.907057416391328,10
"739","fiel",0.898020878161464,10
"740","mozárabe",0.688495781132026,1
"741","conservar",0.892233444840339,9
"742","alto",0.879844617298159,8
"743","extensa",0.907191476683162,10
"744","sureste",0.876542779884466,8
"745","literario",0.79284593363983,3
"746","lengua",0.844373163664209,6
"747","considerar",0.864781092543966,7
"748","innovar",0.875733462817383,8
"749","modelo",0.844538196797037,6
"750","grecorromano",0.821666413029661,4
"751","epopeya",0.849911514138184,6
"752","crónica",0.894680118348802,10
"753","incorporar",0.907676412070712,10
"754","episódico",0.864579678742631,7
"755","propósito",0.903896454061848,10
"756","fijo",0.879274391809483,8
"757","premeditado",0.887609734096015,9
"758","unitario",0.875084059082189,8
"759","iniciar",0.908429332524479,10
"760","sátiro",0.853656839029005,6
"761","don_quijote",0.843010565986647,6
"762","perder",0.853519647370257,6
"763","cabeza",0.886159340164014,9
"764","defensor",0.904830738870046,10
"765","criticar",0.90056120961405,10
"766","porque",0.880276543732842,8
"767","enseñar",0.874547228398314,8
"768","ofrecer",0.864092912595973,7
"769","héroe",0.886790778300228,9
"770","emular",0.901945030868729,10
"771","satisfar",0.899426509518908,10
"772","bello",0.872116657906482,8
"773","burla",0.886356521596528,9
"774","ideal",0.898051559516154,10
"775","noble",0.890653075166288,9
"776","auténtico",0.901148749950656,10
"777","anti",0.907620959091124,10
"778","gracia",0.874139196223699,8
"779","desmitificar",0.873231717112574,8
"780","tradición",0.891771787514206,9
"781","caballeresco",0.775916898585926,3
"782","cortés",0.886309559202752,9
"783","clasificar",0.880214456185307,8
"784","posterioridad",0.888800781103621,9
"785","quijote",0.826932842027197,5
"786","cervantes",0.850009980615279,6
"787","publicar",0.854366365944659,6
"788","ejemplar",0.879932942335296,8
"789","entender",0.850910461206922,6
"790","narración",0.873638286457013,8
"791","cuento",0.872856081856211,8
"792","corta",0.905746782644508,10
